#
imagen;https://www.worten.es//i/02f326c96348185d231e9ab8b98232375e2825b4.jpg
nombre;Smartphone HUAWEI P Smart 2019 (6.2'' - 3 GB - 64 GB - Azul)
precio;173,99
Sistema operativo;Android
Versión del sistema operativo;9
Procesador;Kirin710
Núcleos;Quad-Core
Velocidad del procesador;1.7 GHz
Tarjetas;SIM1 + SIM2 o SD
Radio;Sí
Diagonal de la pantalla;6.2'' (15.748 cm)
Tecnología de la pantalla;LCD
Resolución de la pantalla;Full HD+
Tipo de red;4G
Bluetooth;Sí
Función GPS;Sí
Número de cámaras traseras;2
Número de cámaras frontales;1
Resolución de la cámara trasera;13+2 MPX
Resolución de la cámara frontal;8 MPX
Flash integrado;Sí
Grabación de vídeo;Sí
Sensores;Sensor de luz ambiental, Acelerómetro, Sensor de proximidad
Sensor de huellas dactilares;Sí
Inteligencia artificial;No
Reconocimiento facial;No
Referencia;6813920
EAN;6901443274390
Marca;HUAWEI
Modelo;P Smart 2019
Garantía;2 años
Color;Azul
Peso;160 gr
Altura;15.5 cm
Ancho;7.3 cm
Profundidad;0.79 cm
RAM;3 GB
Memoria interna;64 GB
Memoria externa;Hasta 512GB
Potencia de la batería;3400 mAh
Entrada del cargador;MicroUSB
Contenido extra incluido en la caja;Cargador, cable USB, guía de inicio rápido, accesorio de expulsión de tarjeta SIM, tarjeta de garantía
url;https://www.worten.es/productos/moviles-smartphones/smartphones/smartphone-huawei-p-smart-2019-6-2-3-gb-64-gb-azul-6813920
#
imagen;https://www.worten.es//i/092fc6cb026f25b7aa8766934597940c90a6bda2.jpg
nombre;Smartphone XIAOMI Redmi Note 8 Pro (6.53'' - 6 GB - 128 GB - Gris)
precio;249,99
Sistema operativo;Android
Versión del sistema operativo;9
Procesador;Helio G90T
Núcleos;Octa-Core
Velocidad del procesador;2 x A76 + 6 x A55
Tarjetas;SIM1 + SIM2 o SD
Radio;Sí
Diagonal de la pantalla;6.53
Tecnología de la pantalla;LTPS
Resolución de la pantalla;Full HD+
Tipo de red;4G
Número de cámaras traseras;4
Número de cámaras frontales;1
Resolución de la cámara trasera;64 +8+2+2 MP
Resolución de la cámara frontal;20 MP
Flash integrado;Sí
Grabación de vídeo;4K @30fps
Reconocimiento facial;Sí
Referencia;7030236
EAN;6941059629665
Marca;XIAOMI
Modelo;Redmi Note 8 Pro
Garantía;2 años
Color;Gris
Peso;199 g
Altura;16.1
Ancho;7.6
Profundidad;0.88
RAM;6 GB
Memoria interna;128 GB
Memoria externa;hasta 128GB
Potencia de la batería;4500 mAh
Entrada del cargador;USB-C
Contenido extra incluido en la caja;Cable USB Type C, Cargador
Más información;MIUI 10
url;https://www.worten.es/productos/moviles-smartphones/smartphones/smartphone-xiaomi-redmi-note-8-pro-6-53-6-gb-128-gb-gris-7030236
#
imagen;https://www.worten.es//i/deeadc5693bf6890c5fcf709b5add17d913a173d.jpg
nombre;Smartphone BLACK SHARK 2 Pro (6.39'' - 12 GB - 256 GB - Negro)
precio;649,00
Sistema operativo;Android
Versión del sistema operativo;9
Procesador;Snapdragon 855+
Núcleos;Octa-Core
Velocidad del procesador;2.96 GHz
Radio;No
Diagonal de la pantalla;6.39
Resolución de la pantalla;Full HD+
Tipo de red;4G
Bluetooth;Sí
Función GPS;Sí
Número de cámaras traseras;2
