almacenamiento,imagen,nombre,precio,ram,sistemaOperativo,url
Plano,https://assets.mmsrg.com/isr/166325/c1/-/pixelboxx-mss-81241175/fee_325_225_png/TV-LED-43%22---LG-43UM7600PLB--Panel-IPS-UHD-4K--Smart-TV-IA--Quad-Core--Sonido-DTS-Virtual%3A-X," TV LED 43"" - LG 43UM7600PLB",389,n,LED,https://www.mediamarkt.es/es/product/_tv-led-43-lg-43um7600plb-panel-ips-uhd-4k-smart-tv-ia-quad-core-sonido-dts-virtual-x-1453790.html
HD,https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MMS_74015622/fee_325_225_png/Port%C3%A1til---HP-15s-fq1008ns--15.6%22-HD--Intel%C2%AE-Core%E2%84%A2-i5-1035G1--8-GB-RAM--512-GB-SSD--W10--Blanco, Portátil - HP 15s-fq1008ns,599,1,1366 x 768 píxeles,https://www.mediamarkt.es/es/product/_port%C3%A1til-hp-15s-fq1008ns-15-6-hd-intel%C2%AE-core%E2%84%A2-i5-1035g1-8-gb-ram-512-gb-ssd-w10-blanco-1467985.html
5400 rpm,https://assets.mmsrg.com/isr/166325/c1/-/pixelboxx-mss-75739693/fee_325_225_png/Disco-duro-1-TB---Seagate-STEF1000401-Expansion-Portable--Externo--Negro, Disco duro 1 TB - Seagate STEF1000401 Expansion Portable,49,1,USB 3.0,https://www.mediamarkt.es/es/product/_disco-duro-1-tb-seagate-stef1000401-expansion-portable-externo-negro-1370157.html
64,https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MMS_71145215/fee_325_225_png/M%C3%B3vil---Xiaomi-Redmi-Note-8T--Blanco--64-GB--4-GB-RAM--6.3%22-Full-HD---Snapdragon-665--4000-mAh--Android, Móvil - Xiaomi Redmi Note 8T,199,4,Android,https://www.mediamarkt.es/es/product/_m%C3%B3vil-xiaomi-redmi-note-8t-blanco-64-gb-4-gb-ram-6-3-full-hd-snapdragon-665-4000-mah-android-1468595.html
128,https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MMS_71946018/fee_325_225_png/M%C3%B3vil---Samsung-Galaxy-Note-10-Lite--Aura-Glow--128-GB--6GB-RAM--6.7%22-Full-HD---Exynos-9810--4500-mAh--Android, Móvil - Samsung Galaxy Note 10 Lite,609,6,Android,https://www.mediamarkt.es/es/product/_m%C3%B3vil-samsung-galaxy-note-10-lite-aura-glow-128-gb-6gb-ram-6-7-full-hd-exynos-9810-4500-mah-android-1471717.html
128,https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MMS_71266143/fee_325_225_png/M%C3%B3vil---realme-X2-Pro--Blanco--128-GB--8-GB-RAM--6.5%22-Full-HD---Snapdragon-855---4000-mAh--Android, Móvil - realme X2 Pro,399,8,Android,https://www.mediamarkt.es/es/product/_m%C3%B3vil-realme-x2-pro-blanco-128-gb-8-gb-ram-6-5-full-hd-snapdragon-855-4000-mah-android-1470453.html
128,https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MMS_70082381/fee_325_225_png/Apple-iPhone-8--Dorado--128-GB--2-GB-RAM--4.7%22-Retina-HD--Chip-A11-Bionic--iOS, Apple iPhone 8,575,2,iOS,https://www.mediamarkt.es/es/product/_apple-iphone-8-dorado-128-gb-2-gb-ram-4-7-retina-hd-chip-a11-bionic-ios-1467432.html
128,https://assets.mmsrg.com/isr/166325/c1/-/pixelboxx-mss-81757664/fee_325_225_png/M%C3%B3vil---Honor-20--Azul--128-GB--6-GB-RAM--6.26%22-Full-HD---Kirin-980--Cuatro-C%C3%A1maras-AI-48MP--3750-mAh--Android, Móvil - Honor 20,299,6,Android,https://www.mediamarkt.es/es/product/_m%C3%B3vil-honor-20-azul-128-gb-6-gb-ram-6-26-full-hd-kirin-980-cuatro-c%C3%A1maras-ai-48mp-3750-mah-android-1455408.html
64,https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MMS_71918200/fee_325_225_png/M%C3%B3vil---Oppo-A5--Negro--64-GB--3-GB-RAM--6.5%22-HD--Snapdragon-665--5000-mAh--Android, Móvil - Oppo A5,169,3,Android,https://www.mediamarkt.es/es/product/_m%C3%B3vil-oppo-a5-negro-64-gb-3-gb-ram-6-5-hd-snapdragon-665-5000-mah-android-1468131.html
128,https://assets.mmsrg.com/isr/166325/c1/-/pixelboxx-mss-80700691/fee_325_225_png/M%C3%B3vil---Huawei-P30-Pro--Blanco--128-GB--8-GB-RAM--6.47%22--Kirin-980--4200-mAh--Android, Móvil - Huawei P30 Pro,649,8,Android,https://www.mediamarkt.es/es/product/_m%C3%B3vil-huawei-p30-pro-blanco-128-gb-8-gb-ram-6-47-kirin-980-4200-mah-android-1448886.html
64,https://assets.mmsrg.com/isr/166325/c1/-/ASSET_MMS_71653650/fee_325_225_png/Apple-iPhone-XR--Blanco--64-GB--3-GB-RAM--6.1%22-Liquid-Retina-HD--Chip-A12-Bionic--iOS, Apple iPhone XR,693,3,iOS,https://www.mediamarkt.es/es/product/_apple-iphone-xr-blanco-64-gb-3-gb-ram-6-1-liquid-retina-hd-chip-a12-bionic-ios-1433010.html
